sentence,score,label
End Of Day Scan: Stochastic Overbought $JDST $FREE $BLRX $LPG $AFSI $DVAX $HDGE $AHT $ALR $ASMB  www.dailystockplays.com,-0.385,1
$YANG Double bottom 5.2,0.23,3
$HYG Potential continuation Uptrend on a 60'-15'-4' charts http://stks.co/t1Qp6,0.437,3
$CYTX looks like an ascending channel on Finfiz http://stks.co/f26r4,0.363,3
$AAPL Now I'm glad I got stopped out of my $113 weeklies when I did. Will re-enter next Monday for the #earnings run-up.,0.089,3
"$WFM Bought a little yesterday, hoping for an earnings pop.",0.562,3
EUR/USD Finding Support Near 1.10 Level $ERO $UUP $UDN $FXE  http://stks.co/b29eU,0.259,3
$IBIO  up 10% in premarket ready for lift off,0.507,3
"RECAP: $MSFT rumor this morning had them spinning off XBOX unit, stock grinds up all day to close on highs",0.594,3
"$AAPL AAPL finally breaking under the 49 M.A.. With no buybacks this week, look for AAPL to test the 120 support area.",-0.2,1
"$DGI technical alerts: Gilligan's Island Buy Setup, Stochastic Buy Signal, Lizard Bullish, Hammer Candlestick, Wid... http://stks.co/c29Nu",0.564,3
$LUV Continues to consolidate above previous break out area...,0.227,3
$REN bottoming out again.. Good time to buy,0.587,3
$GOOGL Hit With Lawsuit from Russian Search Engine $YNDX http://stks.co/b1kD8,-0.17,1
$AAPL at resistance right here...sold my shares...will buy back if it dips or if it goes in the 128 gap zone,-0.238,1
$GALE Breakout Coming Soon!,0.465,3
"$RUSS Don't catch falling knives, but I think an entry is coming soon on this",0.1,3
$AAPL $131 rally mode,0.5,3
$MPWR CEO sells 450k april 15th..meh,-0.195,1
"Homebuilders - $RYL breaking below support, watch this one.  $SPY",-0.397,1
$AAPL afternoon selloff as usual will be brutal. get ready to lose a ton of money.,-0.569,1
$AMZN Going thru the roof needs a sell!,0.441,3
"$ESI on lows, down $1.50 to $2.50 BK a real possibility",-0.465,1
Short on $ATVI from 24.55.,-0.745,1
End Of Day Scan: Bullish MA  Crossovers $BBVA $PDS $NTLS $NGL $SBRCY $FGL $MTNOY $TTT  www.dailystockplays.com,0.457,3
"@louiebeene vwap is 1.63, held the trend line. Should be on a LOT of radars. $NAVB",0.325,3
$NEON oversold,0.43,3
"$SSYS just re-tested lows . Should rise steadily from here. It hit $81 just 21 trading days ago, and $130.86 on Sept 18. It'll do it again.",0.395,3
"$KNDI Break that HOD on volume, and we have a nice consolidation completed for another run.",0.602,3
$INVE : SEE YA ABOVE $8,0.502,3
$BXS: BancorpSouth Announces Extension of Merger Agreements with ... http://stks.co/s2PDF,0.348,3
"Maglan Capital Up +20.84% In February, Long Fairpoint  http://stks.co/s1eQc $$ $FRP",0.559,3
Exact (EXAS) Flagged As Strong On High Volume $EXAS http://stks.co/r26Ra,0.385,3
$BIOC RSI extremely in long's favor looking at BIOC historically.,0.503,3
$TNH Looks like an explosive setup if it can break the 20EMA and 105 level http://stks.co/b1SVH,0.348,3
$VMW  Got a nice push today following small sweepers of May C this morning,0.28,3
$DDD 3D Systems (DDD) Stock Receives Ratings Downgrade Today at Jefferies http://stks.co/g1cqd,-0.501,1
$AAPL Dips being bought up real quick. Higher lows fo sho,0.249,3
Long $X 24.62,0.601,3
$NKE gapping up to all time highs http://stks.co/q1jAu #tradeideas http://stks.co/r1j6c,0.782,3
@Intuitiv $CLNE gasoline prices spike in California. http://stks.co/t1bOi,0.46,3
ESPN Files Lawsuit Against Verizon - http://stks.co/i2Cj1 $VZ,-0.346,1
$AVGO great growth stk &  also raised dividend . clearly a great investment http://stks.co/r2F3h,0.597,3
"$RXII Tang really is toxic, they keep bringing the share price down. At least they could let it climb a little before dragging it down.",-0.507,1
$AAPL near a 3% drop thats a lot... now the best i can do is HOLD ER lol,-0.304,1
$HCP Come to the party and buy this -gonna give solid gains and a dividend $$$$$$,0.52,3
"$ONTY Continues to base as debate lingers. ONT-10 data next potential catalyst. If positive, stock quickly moves to $10. Downside limited.",0.3,3
$SPY Looks like bear traps getting laid faster than Cadbury Creme Eggs by the Easter Bunny,0.351,3
$BBRY Sierra. Has a great cash balance and impressive growth rate.Would be a wonderful marriage!,0.493,3
$IWM same conditions that sent markets to tumble all hitting this week,-0.236,1
$CRK time to accumulate for a long position with far more upside than downside,0.668,3
$BWLD bearish engulfing candle,-0.532,1
for @vnoto74 to follow:  after a SELL signal by $NDX internals [06/23] ~> technical SELL $QQQ [06/25] ~> DOWN,-0.541,1
$AWR Standard & Poor's Affirms 'A+' Credit Rating at American States Water Company and Golden State Water Company http://stks.co/f2P94,0.526,3
$FREE Ha Heeeeeere comes the pump! So glad I picked up 9K end of day! Get ready for the bull ride!,0.538,3
$NUAN held up well after the big gains! Maybe we're finally on the move on this!!its still very undervalued and has major upside,0.695,3
Why $MCD looks set to fall further. http://stks.co/f2fgj,-0.545,1
@technik I still have a smaller $GILD pos. Being very tender with cash due to volatility. So reluctant to keep many big positions.,0.153,3
$FB bot some @78.47 breakout from the consolidation zone :D,0.724,3
$XLI Potential intermediate top in an Uptrend on a 60'-15'-4' charts http://stks.co/j1TdF,0.126,3
$TWTR sad the only thing to move this is a takeover rumor only to be sold off next day !,-0.278,1
"$VRTX Vertex. Monthly -lower hi/lower lo,  Long term uptrend intract so far",0.368,3
$GEVO PLUNGING!  Back to $3.55.,-0.628,1
energy still failing to close above the 10D MA.  continues to stand out weak $XLE,-0.517,1
$ENB.CA {Head&Shoulders} bullish reversal setup and breakout. Oil and Gas Pipleline stock. $USO,0.253,3
"$IMRS - it's important to be pragmatic in analysis...high prices could offer head-winds....bullish story intact,evenif the market rolls over",0.4,3
Micron Shares Pounded On Fears Of Loss Of Business From Apple; Stifel Defends $AAPL $MU http://stks.co/t1Z8T @Marjo,-0.596,1
"$CHKP ABC Bullish Pattern, Targets https://t.co/uVMmRSR5Zy",0.496,3
$TSLA is now up 57% from its February low. Amazing rebound.,0.582,3
$SBUX downgraded to neutral at Deutsche Bank. Price target reduced to $64 from $70.,-0.446,1
"Micron Technology Inc #NASDAQ: $MU down 2.3% today and down 8.9% since being put on ""The Short"" https://t.co/EQQLTfUiOU",-0.469,1
$YHOO About to break out on the 5-min...,0.313,3
$GILD 91 now support. $IBB $BIB https://t.co/GIoOf6zbKv,0.188,3
$FB down 7.5% from this #bearish pattern.  Considering the #bullish sentiment - That's an impressive bearish move https://t.co/TaJF0cH2qh,-0.39,1
$SAVE long. https://t.co/yEJuS9cMlC,0.388,3
@mugatushair Now it is time to short $TSLA,-0.385,1
$COST Costco less than stellar day but it held the 50 day moving average,-0.14,1
"$AGN and $PYPL under pressure along with the market, however there were bullish options trades in both this morning https://t.co/9xG5W8nONT",0.014,3
Costco: A Premier Retail Dividend Play https://t.co/Fa5cnh2t0t $COST,0.354,3
$INTC finally some nice downside move... looking for the 31 handle to break,-0.462,1
"$YHOO fishy action. New party interested (DailyMail) bounce & retreats. Not short by any means, but action questions big up move. Thoughts?",-0.043,1
"Sheryl Sandberg Sells 109,000 Shares of Facebook Inc $FB Stock https://t.co/3vXT7AMnpk via @RatingsNetwork",-0.186,1
Amazon has been selling surveillance cameras infected with malware $AMZN #Amazon  https://t.co/TohLEQ8FK6 https://t.co/5PR4cBtVVy,-0.186,1
"$TSLA 5th wave down on the 1 hour chart, hammer candle developing, close to 200 sma, might be a good spot for calls",0.4,3
Baird Upgrades Tesla Motors $TSLA to Outperform https://t.co/1FA6aTOqlw,0.52,3
$ilmn piper Jeffries raises pt.  I remain long,0.467,3
"@HopeTurock yes, the expectations of a deal are somewhat priced in but we could see a nice pop if bids come in higher than expected... $YHOO",0.234,3
I don't see it. 200 day sma is the big hurdle. There is a good base building. $NFLX  https://t.co/ImKYGO2cyc,0.228,3
Daily Mail parent company in talks with potential partners about joint bid for Yahoo's internet assets: https://t.co/mK7MEMtADT $YHOO,0.228,3
expecting  $SPY to close above 205.20 $AAPL,0.385,3
"$FB trending nicely, intraday.",0.404,3
Starbucks' Digital Strategy To Drive Significant Growth With Customer Loyalty $SBUX https://t.co/Xk6lZ3UI3K,0.388,3
"$QCOM chart: Qualcomm Short 61.8% Retracement, Trendline and Resistance. https://t.co/2WQqh35KOY",-0.371,1
"$INTU is in the process of streamlining its structure, especially through divestment of non-core businesses   https://t.co/dR5baNun2u",0.229,3
"$TSLA steaming up again, this stock is relentless at the moment",0.535,3
.@barronsonline sees #Apple at $150/share in a year (+36% from today) on growing services business. $AAPL https://t.co/3BDNEKN7l1,0.408,3
Adobe Receives New Rating from Top Analyst $ADBE https://t.co/LJNXPEvHZN,0.141,3
Activision Blizzard Media Networks Announces Record #Esports Viewership https://t.co/729BiqLbtK $ATVI partnered with $HDSI for 9 #tournament,0.208,3
"Also, BMO had just initiated $incy with an outperform yesterday, while several other firms all reiterated buy ratings.",0.574,3
